Count,Priority,Market Type,State,Market,Label,% Homes Passed (pct availability),Market Share %,"Multi-Cultural (Hispanic, Asian, African American)",Gateway Index,Rethink,Intercept,Nudge,Win,Grow,Rethink-TV,Rethink-CTV,Rethink-Radio,Rethink-Sponsorships,Rethink-OOH/DOOH,Rethink-INFLUENCERS / SOCIAL AMPLIFICATION,Intercept-CTV,Intercept-Audio,Intercept-Search Non Brand,Intercept-Social,Intercept-DIGITAL AUDIO,Intercept-OOH / DOOH,Nudge-Search Brand,Nudge-Digital Video,Nudge-Social,Nudge-Digital Display,Win-Digital Video,Win-Digital Display,Win-Social,Win-Search Non Brand,Total
1,22,Top Tier,Alabama,Birmingham,DEFEND,81%,32%,33%,70.7,27%,18%,39%,16%,0%,"$219,853.18","$75,668.79","$23,858.53","$92,657.04",,,"$75,668.41","$30,966.28","$120,673.53","$45,165.78",,,"$357,234.44","$90,261.49","$63,232.10","$84,079.54","$28,026.51","$30,087.16","$72,265.22","$120,673.53","$1,530,371.55"
2,8,Top Tier,North Carolina,Charlotte,DEFEND,85%,46%,36%,100,27%,18%,39%,16%,0%,"$288,321.91","$99,234.27","$31,288.78","$121,513.16",,,"$99,233.77","$40,610.08","$158,254.81","$59,231.73",,,"$468,487.72","$118,371.57","$82,924.43","$110,264.38","$36,754.79","$39,457.19","$94,770.73","$158,254.81","$2,006,974.14"
3,24,Top Tier,Ohio,Dayton,DEFEND,96%,63%,18%,90.08,27%,18%,39%,16%,0%,"$170,536.66","$58,695.09","$18,506.69","$71,872.61",,,"$58,694.79","$24,020.05","$93,604.56","$35,034.39",,,"$277,101.14","$70,014.42","$49,048.14","$65,219.18","$21,739.73","$23,338.14","$56,055.00","$93,604.56","$1,187,085.17"
4,30,Top Tier,Texas,El Paso,DEFEND,97%,50%,85%,158.1,27%,18%,39%,16%,0%,"$199,732.24","$68,743.59","$21,675.00","$84,177.07",,,"$68,743.24","$28,132.24","$109,629.50","$41,032.22",,,"$324,540.38","$82,000.77","$57,445.10","$76,384.59","$25,461.53","$27,333.59","$65,651.51","$109,629.50","$1,390,312.09"
5,12,Top Tier,Wisconsin,Milwaukee,DEFEND,99%,61%,29%,93.23,27%,18%,39%,16%,0%,"$269,579.08","$92,783.38","$29,254.80","$113,614.00",,,"$92,782.91","$37,970.16","$147,967.20","$55,381.28",,,"$438,032.91","$110,676.63","$77,533.79","$103,096.47","$34,365.49","$36,892.21","$88,610.01","$147,967.20","$1,876,507.51"
6,7,Top Tier,North Carolina,Raleigh - Durham,DEFEND,97%,55%,43%,95.87,27%,18%,39%,16%,0%,"$325,453.70","$112,014.24","$35,318.33","$137,162.33",,,"$112,013.67","$45,840.09","$178,635.79","$66,859.94",,,"$528,822.31","$133,616.15","$93,603.92","$124,464.87","$41,488.29","$44,538.72","$106,975.86","$178,635.79","$2,265,444.02"
7,38,Mid Tier,California,Bakersfield,DEFEND,87%,57%,71%,78.63,27%,18%,39%,16%,0%,"$122,398.03","$42,126.80","$13,282.67","$51,584.60",,,"$42,126.58","$17,239.74","$67,182.12","$25,144.98",,,"$198,881.77","$50,250.94","$35,202.97","$46,809.29","$15,603.10","$16,750.31","$40,231.94","$67,182.12","$851,997.94"
8,72,Mid Tier,Kentucky,Bowling Green,DEFEND,100%,37%,17%,33.94,27%,18%,39%,16%,0%,"$97,924.37","$33,703.49","$10,626.78","$41,270.19",,,"$33,703.31","$13,792.63","$53,748.96","$20,117.20",,,"$159,115.08","$40,203.19","$28,164.08","$37,449.70","$12,483.23","$13,401.06","$32,187.51","$53,748.96","$681,639.76"
9,69,Mid Tier,Montana,Butte - Bozeman,DEFEND,92%,51%,6%,179.12,27%,18%,39%,16%,0%,"$77,470.25","$26,663.61","$8,407.09","$32,649.81",,,"$26,663.48","$10,911.67","$42,522.05","$15,915.19",,,"$125,879.65","$31,805.68","$22,281.26","$29,627.33","$9,875.78","$10,601.89","$25,464.29","$42,522.05","$539,261.09"
10,74,Mid Tier,Wyoming,Casper - Riverton,DEFEND,96%,55%,11%,519.33,27%,18%,39%,16%,0%,"$77,678.80","$26,735.39","$8,429.73","$32,737.70",,,"$26,735.25","$10,941.04","$42,636.52","$15,958.03",,,"$126,218.51","$31,891.30","$22,341.24","$29,707.09","$9,902.36","$10,630.43","$25,532.84","$42,636.52","$540,712.75"
11,46,Mid Tier,Texas,Corpus Christi,DEFEND,98%,48%,68%,170.21,27%,18%,39%,16%,0%,"$145,581.82","$50,106.17","$15,798.58","$61,355.40",,,"$50,105.91","$20,505.17","$79,907.29","$29,907.76",,,"$236,552.59","$59,769.12","$41,870.87","$55,675.58","$18,558.53","$19,923.04","$47,852.40","$79,907.29","$1,013,377.55"
12,41,Mid Tier,Indiana,Evansville,DEFEND,97%,44%,10%,35.71,27%,18%,39%,16%,0%,"$139,148.25","$47,891.87","$15,100.41","$58,643.98",,,"$47,891.63","$19,599.00","$76,376.02","$28,586.08",,,"$226,098.83","$57,127.80","$40,020.51","$53,215.16","$17,738.39","$19,042.60","$45,737.70","$76,376.02","$968,594.25"
13,63,Mid Tier,Tennessee,Jackson-Tn,DEFEND,95%,51%,25%,19.38,27%,18%,39%,16%,0%,"$84,158.43","$28,965.54","$9,132.90","$35,468.54",,,"$28,965.40","$11,853.70","$46,193.08","$17,289.18",,,"$136,747.13","$34,551.54","$24,204.85","$32,185.13","$10,728.38","$11,517.18","$27,662.68","$46,193.08","$585,816.74"
14,61,Mid Tier,Texas,Laredo,DEFEND,98%,84%,96%,23.39,27%,18%,39%,16%,0%,"$73,878.35","$25,427.36","$8,017.30","$31,136.00",,,"$25,427.23","$10,405.75","$40,550.52","$15,177.28",,,"$120,043.25","$30,331.01","$21,248.19","$28,253.67","$9,417.89","$10,110.34","$24,283.64","$40,550.52","$514,258.32"
15,62,Mid Tier,Montana,Missoula,DEFEND,94%,57%,6%,190.22,27%,18%,39%,16%,0%,"$83,634.94","$28,785.37","$9,076.09","$35,247.91",,,"$28,785.22","$11,779.96","$45,905.74","$17,181.64",,,"$135,896.51","$34,336.62","$24,054.29","$31,984.93","$10,661.64","$11,445.54","$27,490.61","$45,905.74","$582,172.75"
16,45,Mid Tier,California,Palm Springs,DEFEND,100%,71%,63%,35.05,27%,18%,39%,16%,0%,"$108,692.62","$37,409.69","$11,795.36","$45,808.46",,,"$37,409.50","$15,309.33","$59,659.46","$22,329.39",,,"$176,612.16","$44,624.13","$31,261.14","$41,567.86","$13,855.95","$14,874.71","$35,727.01","$59,659.46","$756,596.22"
17,35,Mid Tier,Nevada,Reno,DEFEND,97%,58%,32%,67.93,27%,18%,39%,16%,0%,"$131,344.54","$45,206.00","$14,253.55","$55,355.11",,,"$45,205.77","$18,499.85","$72,092.70","$26,982.91",,,"$213,418.76","$53,923.96","$37,776.08","$50,230.75","$16,743.58","$17,974.65","$43,172.64","$72,092.70","$914,273.55"
18,65,Mid Tier,Minnesota,Rochester - Mason City - Austin,DEFEND,98%,41%,15%,46.23,27%,18%,39%,16%,0%,"$100,619.83","$34,631.20","$10,919.29","$42,406.19",,,"$34,631.03","$14,172.28","$55,228.45","$20,670.95",,,"$163,494.87","$41,309.82","$28,939.32","$38,480.54","$12,826.85","$13,769.94","$33,073.50","$55,228.45","$700,402.51"
19,36,Mid Tier,Texas,Waco - Temple - Bryan,DEFEND,91%,40%,46%,57.7,27%,18%,39%,16%,0%,"$157,193.08","$54,102.51","$17,058.64","$66,248.96",,,"$54,102.24","$22,140.61","$86,280.51","$32,293.14",,,"$255,419.46","$64,536.17","$45,210.39","$60,116.13","$20,038.71","$21,512.06","$51,668.99","$86,280.51","$1,094,202.11"
20,14,Top Tier,Texas,"Austin, Texas",PROTECT,86%,38.868,47%,168.65,49%,15%,26%,11%,0%,"$881,322.25","$118,472.41","$80,644.13","$197,562.22",,,"$118,472.41","$96,597.23","$118,482.11","$52,545.98",,,"$370,668.78","$105,490.76","$73,564.37","$119,167.46","$35,163.59","$39,722.49","$84,073.63","$118,482.11","$2,610,431.93"
21,13,Top Tier,Ohio,Cincinnati,PROTECT,92%,42.386,20%,62.59,49%,15%,26%,11%,0%,"$809,373.21","$108,800.60","$74,060.54","$181,433.71",,,"$108,800.60","$88,711.27","$108,809.51","$48,256.25",,,"$340,408.27","$96,878.75","$67,558.75","$109,438.92","$32,292.92","$36,479.64","$77,210.06","$108,809.51","$2,397,322.50"
22,5,Top Tier,Florida,Orlando - Daytona Beach - Melbourne,PROTECT,88%,52.474,44%,90.08,49%,15%,26%,11%,0%,"$1,274,314.38","$171,300.67","$116,604.31","$285,657.57",,,"$171,300.67","$139,671.10","$171,314.70","$75,976.86",,,"$535,954.43","$152,530.35","$106,367.61","$172,305.66","$50,843.45","$57,435.22","$121,563.07","$171,314.70","$3,774,454.74"
23,10,Top Tier,Texas,San Antonio,PROTECT,89%,41.09,66%,115.04,49%,15%,26%,11%,0%,"$1,036,721.01","$139,362.00","$94,863.67","$232,397.29",,,"$139,362.00","$113,629.70","$139,373.41","$61,811.13",,,"$436,026.79","$124,091.37","$86,535.58","$140,179.61","$41,363.79","$46,726.54","$98,897.88","$139,373.41","$3,070,715.20"
24,4,Top Tier,Florida,Tampa - Saint Petersburg,PROTECT,97%,53.135,36%,136.87,49%,15%,26%,11%,0%,"$1,400,116.96","$188,211.78","$128,115.70","$313,858.20",,,"$188,211.78","$153,459.68","$188,227.19","$83,477.43",,,"$588,864.80","$167,588.42","$116,868.40","$189,315.98","$55,862.81","$63,105.33","$133,564.00","$188,227.19","$4,147,075.64"
25,6,Top Tier,Ohio,Cleveland,UPGRADE,85%,49.254,21%,91.47,39%,13%,40%,9%,0%,"$929,638.07","$166,365.58","$67,291.45","$22,754.35","$21,227.20",,"$166,365.58",,"$114,171.92","$50,674.79","$40,207.33","$14,151.47","$935,528.86","$72,152.11","$70,944.71","$135,795.97","$24,050.70","$45,265.32","$81,079.67","$114,171.92","$3,071,836.99"
26,11,Top Tier,Ohio,Columbus-Oh,UPGRADE,99%,52.885,23%,93.33,39%,13%,40%,9%,0%,"$725,165.10","$129,773.64","$52,490.76","$17,749.55","$16,558.30",,"$129,773.64",,"$89,059.92","$39,528.92","$31,363.77","$11,038.86","$729,760.23","$56,282.32","$55,340.49","$105,927.78","$18,760.77","$35,309.26","$63,246.28","$89,059.92","$2,396,189.52"
27,16,Top Tier,South Carolina,Greenville - Spartanburg - Asheville - Anderson,UPGRADE,97%,51.05,24%,72.37,39%,13%,40%,9%,0%,"$606,646.00","$108,563.77","$43,911.81","$14,848.61","$13,852.05",,"$108,563.77",,"$74,504.20","$33,068.42","$26,237.75","$9,234.70","$610,490.10","$47,083.69","$46,295.78","$88,615.22","$15,694.56","$29,538.41","$52,909.47","$74,504.20","$2,004,562.51"
28,18,Top Tier,Missouri,Kansas City,UPGRADE,100%,20.453,25%,89.32,39%,13%,40%,9%,0%,"$770,089.10","$137,813.12","$55,742.57","$18,849.14","$17,584.08",,"$137,813.12",,"$94,577.19","$41,977.74","$33,306.75","$11,722.72","$774,968.89","$59,769.01","$58,768.84","$112,490.01","$19,923.00","$37,496.67","$67,164.38","$94,577.19","$2,544,633.52"
29,27,Top Tier,Kentucky,Lexington,UPGRADE,98%,49.331,13%,64,39%,13%,40%,9%,0%,"$407,024.42","$72,840.02","$29,462.29","$9,962.56","$9,293.93",,"$72,840.02",,"$49,988.01","$22,187.00","$17,604.02","$6,195.95","$409,603.59","$31,590.43","$31,061.80","$59,455.69","$10,530.14","$19,818.56","$35,499.20","$49,988.01","$1,344,945.64"
30,25,Top Tier,New York,Rochester - NY,UPGRADE,96%,28.38,24%,46.23,39%,13%,40%,9%,0%,"$412,262.11","$73,777.34","$29,841.42","$10,090.76","$9,413.52",,"$73,777.34",,"$50,631.27","$22,472.51","$17,830.55","$6,275.68","$414,874.47","$31,996.95","$31,461.51","$60,220.78","$10,665.65","$20,073.59","$35,956.01","$50,631.27","$1,362,252.73"
31,9,Top Tier,Missouri,Saint Louis,UPGRADE,88%,18.92,23%,69.46,39%,13%,40%,9%,0%,"$829,886.98","$148,514.39","$60,071.01","$20,312.78","$18,949.50",,"$148,514.39",,"$101,921.16","$45,237.34","$35,893.04","$12,633.00","$835,145.69","$64,410.11","$63,332.27","$121,224.92","$21,470.04","$40,408.31","$72,379.74","$101,921.16","$2,742,225.82"
32,57,Mid Tier,Georgia,Columbus-Ga,UPGRADE,46%,10.56,46%,120.73,39%,13%,40%,9%,0%,"$217,877.06","$38,990.71","$15,770.94","$5,332.88","$4,974.97",,"$38,990.71",,"$26,758.20","$11,876.53","$9,423.30","$3,316.65","$219,257.68","$16,910.12","$16,627.14","$31,826.18","$5,636.71","$10,608.73","$19,002.45","$26,758.20","$719,939.13"
33,71,Mid Tier,Alabama,Dothan,UPGRADE,73%,34.425,29%,75.9,39%,13%,40%,9%,0%,"$214,923.96","$38,462.23","$15,557.18","$5,260.60","$4,907.54",,"$38,462.23",,"$26,395.52","$11,715.56","$9,295.57","$3,271.69","$216,285.86","$16,680.92","$16,401.78","$31,394.81","$5,560.31","$10,464.94","$18,744.89","$26,395.52","$710,181.08"
34,60,Mid Tier,Pennsylvania,Erie,UPGRADE,98%,57.993,12%,34.16,39%,13%,40%,9%,0%,"$210,325.59","$37,639.31","$15,224.33","$5,148.05","$4,802.54",,"$37,639.31",,"$25,830.78","$11,464.90","$9,096.69","$3,201.69","$211,658.36","$16,324.02","$16,050.86","$30,723.10","$5,441.34","$10,241.03","$18,343.84","$25,830.78","$694,986.54"
35,34,Mid Tier,Michigan,Flint - Saginaw - Bay City,UPGRADE,97%,45.595,17%,89.4,39%,13%,40%,9%,0%,"$396,318.28","$70,924.08","$28,687.33","$9,700.51","$9,049.46",,"$70,924.08",,"$48,673.16","$21,603.40","$17,140.97","$6,032.98","$398,829.61","$30,759.50","$30,244.76","$57,891.80","$10,253.17","$19,297.27","$34,565.45","$48,673.16","$1,309,568.95"
36,75,Mid Tier,Montana,Great Falls,UPGRADE,86%,47.57,6%,170.33,39%,13%,40%,9%,0%,"$169,806.09","$30,388.05","$12,291.34","$4,156.27","$3,877.32",,"$30,388.05",,"$20,854.45","$9,256.17","$7,344.20","$2,584.88","$170,882.09","$13,179.18","$12,958.64","$24,804.26","$4,393.06","$8,268.09","$14,809.87","$20,854.45","$561,096.45"
37,40,Mid Tier,North Carolina,Greenville - New Bern - Washington,UPGRADE,89%,46.798,36%,31.89,39%,13%,40%,9%,0%,"$266,689.11","$47,725.98","$19,304.18","$6,527.63","$6,089.53",,"$47,725.98",,"$32,752.97","$14,537.29","$11,534.44","$4,059.69","$268,379.03","$20,698.57","$20,352.20","$38,956.35","$6,899.52","$12,985.45","$23,259.66","$32,752.97","$881,230.56"
38,52,Mid Tier,Wisconsin,La Crosse - Eau Claire,UPGRADE,90%,42.828,7%,81.56,39%,13%,40%,9%,0%,"$255,706.30","$45,760.53","$18,509.19","$6,258.81","$5,838.75",,"$45,760.53",,"$31,404.14","$13,938.61","$11,059.43","$3,892.50","$257,326.62","$19,846.16","$19,514.06","$37,352.05","$6,615.39","$12,450.68","$22,301.78","$31,404.14","$844,939.65"
39,43,Mid Tier,Nebraska,Lincoln - Hastings - Kearney,UPGRADE,93%,31.843,16%,58.66,39%,13%,40%,9%,0%,"$319,628.31","$57,199.84","$23,136.16","$7,823.40","$7,298.34",,"$57,199.84",,"$39,254.61","$17,423.02","$13,824.09","$4,865.56","$321,653.69","$24,807.35","$24,392.22","$46,689.39","$8,269.12","$15,563.13","$27,876.82","$39,254.61","$1,056,159.49"
40,33,Mid Tier,Wisconsin,Madison,UPGRADE,87%,50.112,15%,91.28,39%,13%,40%,9%,0%,"$333,801.37","$59,736.21","$24,162.07","$8,170.31","$7,621.96",,"$59,736.21",,"$40,995.25","$18,195.59","$14,437.08","$5,081.31","$335,916.56","$25,907.36","$25,473.83","$48,759.71","$8,635.79","$16,253.24","$29,112.95","$40,995.25","$1,102,992.05"
41,78,Mid Tier,Minnesota,Mankato,UPGRADE,90%,23.276,14%,112,39%,13%,40%,9%,0%,"$252,930.21","$45,263.72","$18,308.24","$6,190.86","$5,775.37",,"$45,263.72",,"$31,063.20","$13,787.29","$10,939.36","$3,850.24","$254,532.94","$19,630.70","$19,302.20","$36,946.53","$6,543.57","$12,315.51","$22,059.66","$31,063.20","$835,766.53"
42,47,Mid Tier,Alabama,Montgomery - Selma,UPGRADE,95%,44.739,50%,42.36,39%,13%,40%,9%,0%,"$283,439.09","$50,723.51","$20,516.62","$6,937.62","$6,472.00",,"$50,723.51",,"$34,810.09","$15,450.33","$12,258.89","$4,314.67","$285,235.15","$21,998.59","$21,630.47","$41,403.09","$7,332.86","$13,801.03","$24,720.53","$34,810.09","$936,578.14"
43,51,Mid Tier,Tennessee,Tri-Cities-Tn-Va,UPGRADE,98%,32.747,7%,97.88,39%,13%,40%,9%,0%,"$349,518.47","$62,548.91","$25,299.74","$8,555.01","$7,980.85",,"$62,548.91",,"$42,925.52","$19,052.33","$15,116.86","$5,320.56","$351,733.25","$27,127.22","$26,673.27","$51,055.57","$9,042.41","$17,018.52","$30,483.74","$42,925.52","$1,154,926.64"
44,53,Mid Tier,Wisconsin,Wausau - Rhinelander,UPGRADE,92%,46.388,7%,220.53,39%,13%,40%,9%,0%,"$219,405.03","$39,264.15","$15,881.54","$5,370.28","$5,009.86",,"$39,264.15",,"$26,945.86","$11,959.82","$9,489.38","$3,339.90","$220,795.33","$17,028.71","$16,743.75","$32,049.37","$5,676.24","$10,683.12","$19,135.71","$26,945.86","$724,988.05"
45,3,Top Tier,Texas,Dallas - Fort Worth,MUST WIN,85%,28.577,54%,107.75,45%,19%,29%,6%,0%,"$2,391,125.22","$906,751.79","$97,733.77","$975,404.47","$249,299.24","$245,565.49","$906,751.79","$399,985.58","$250,971.04","$306,956.86",,"$166,199.49","$2,195,724.16","$246,968.84","$429,739.61","$286,059.26","$82,322.95","$95,353.09","$245,565.49","$250,971.04","$10,729,449.17"
46,1,Top Tier,California,Los Angeles,MUST WIN,96%,54.544,70%,154.75,45%,19%,29%,6%,0%,"$3,320,865.53","$1,259,323.74","$135,735.56","$1,354,670.62","$346,234.17","$341,048.62","$1,259,323.74","$555,511.82","$348,556.02","$426,310.78",,"$230,822.78","$3,049,486.75","$342,997.64","$596,835.09","$397,287.58","$114,332.55","$132,429.19","$341,048.62","$348,556.02","$14,901,376.81"
47,2,Top Tier,New York,New York,MUST WIN,96%,14.054,54%,109.94,45%,19%,29%,6%,0%,"$4,093,685.94","$1,552,389.24","$167,323.47","$1,669,924.91","$426,808.60","$420,416.29","$1,552,389.24","$684,788.62","$429,670.78","$525,520.36",,"$284,539.06","$3,759,152.83","$422,818.87","$735,728.50","$489,742.97","$140,939.62","$163,247.66","$420,416.29","$429,670.78","$18,369,174.01"
